name,district,price,bedroom,wc,acreage,link
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
HÀNG HIẾM - 4 x 12 - Hẻm xe hơi - 2 Tầng  - Tân Thới Hiệp - Nhỉnh 2 T,"Quận 12, TPHCM",2 tỷ 800 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/hang-hiem-4-x-12-hem-xe-hoi-2-tang-tan-thoi-hiep-nhinh-2-t-id22520905
Nhà trệt lầu ở Nhơn Đức Nhà Bè,"Huyện Nhà Bè, TPHCM",850 triệu,3 PN,1 WC,48 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/nha-tret-lau-o-nhon-duc-nha-be-id22524481
"Chính chủ bán nhà 490/18 Hà Huy Giáp, Quận 12","Quận 12, TPHCM",4 tỷ 300 triệu,2 PN,2 WC,21 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/chinh-chu-ban-nha-490-18-ha-huy-giap-quan-12-id22515012
"TIN THẬT:Nhà 2 tầng,căn góc,hẻm xe hơi 6x21 hoàn công Bình Chiểu,TĐ","Quận Thủ Đức (TP. Thủ Đức), TPHCM",3 tỷ 990 triệu,2 PN,2 WC,80 m2,https://mogi.vn/quan-thu-duc/mua-nha-hem-ngo/tin-that-nha-2-tang-can-goc-hem-xe-hoi-6x21-hoan-cong-binh-chieu-td-id22518728
Biệt Thự 4 Tầng - 140m2 - Tô Ký - 7x20m - Đường 12m Vỉa Hè - Nhỉnh 9tỷ,"Huyện Hóc Môn, TPHCM",9 tỷ 499 triệu,7 PN,7 WC,114 m2,https://mogi.vn/huyen-hoc-mon/mua-nha-biet-thu-lien-ke/biet-thu-4-tang-140m2-to-ky-7x20m-duong-12m-via-he-nhinh-9ty-id22457163
GÒ VẤP - PHAN HUY ÍCH - 50M2 - Hẻm 2 xe hơi TRÁNH - Vị trí cực đẹp,"Quận Gò Vấp, TPHCM",2 tỷ 860 triệu,4 PN,5 WC,140 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/go-vap-phan-huy-ich-50m2-hem-2-xe-hoi-tranh-vi-tri-cuc-dep-id22526875
"Nhà 4 Lầu thu nhập 500 triệu/năm đường Thống Nhất quận Thủ Đức 11,5 tỷ","Quận Thủ Đức (TP. Thủ Đức), TPHCM",11 tỷ 500 triệu,4 PN,5 WC,50 m2,https://mogi.vn/quan-thu-duc/mua-nha-mat-tien-pho/nha-4-lau-thu-nhap-500-trieu-nam-duong-thong-nhat-quan-thu-duc-11-5-ty-id22502369
"Nhà Lê Đức Thọ, Gò Vấp, 53m2, 4 tầng BTCT - 5 PN, trung tâm Gò Vấp","Quận Gò Vấp, TPHCM",4 tỷ 750 triệu,18 PN,15 WC,120 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/nha-le-duc-tho-go-vap-53m2-4-tang-btct-5-pn-trung-tam-go-vap-id22527318
Ngộp! Bán gấp nhà C4 92m2 - Mặt tiền Nguyễn Hữu Cảnh - Chỉ 92tr/m2,"Quận Bình Thạnh, TPHCM",8 tỷ 500 triệu,5 PN,4 WC,53 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ngop-ban-gap-nha-c4-92m2-mat-tien-nguyen-huu-canh-chi-92tr-m2-id22503769
"Bán gấp tòa nhà 5 tầng MT Trần Quốc Toản Quận 3, gần Hai Bà Trưng, DT:","Quận 3, TPHCM",42 tỷ,3 PN,2 WC,92 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-gap-toa-nha-5-tang-mt-tran-quoc-toan-quan-3-gan-hai-ba-trung-dt-id22159016
Đặng Văn Ngữ Phú Nhuận - 22M2 - 4 Tầng sân thượng - 3 PN - 3 TỶ NHỈNH,"Quận Phú Nhuận, TPHCM",3 tỷ 900 triệu,4 PN,4 WC,110 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/dang-van-ngu-phu-nhuan-22m2-4-tang-san-thuong-3-pn-3-ty-nhinh-id22464988
"Bán Nhà Lâm Văn Bền, Cách Lotte 200m, 85m2, 2Tầng , Nhỉnh 7TY","Quận 7, TPHCM",7 tỷ 200 triệu,3 PN,2 WC,22 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/ban-nha-lam-van-ben-cach-lotte-200m-85m2-2tang-nhinh-7ty-id22527026
"HẺM XE TẢI THÔNG 6M- 104m2 Gò Cát sát bên Nguyễn Duy Trinh, Nhỉnh 4tỷ","Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 400 triệu,3 PN,2 WC,85 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/hem-xe-tai-thong-6m-104m2-go-cat-sat-ben-nguyen-duy-trinh-nhinh-4ty-id22511759
Góc 2 MT Lê Văn Sỹ p14 Quận 3 dt 5x19 nhà 4 tầng HDT 74tr/th chỉ 27 tỷ,"Quận 3, TPHCM",27 tỷ,2 PN,2 WC,104 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/goc-2-mt-le-van-sy-p14-quan-3-dt-5x19-nha-4-tang-hdt-74tr-th-chi-27-ty-id22516216
"GV. NHÀ HÀNG 12.2M x 32.5M, 4T, view Sông Vàm Thuật, HĐT 110 triệu/th.","Quận Gò Vấp, TPHCM",34 tỷ 950 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/gv-nha-hang-12-2m-x-32-5m-4t-view-song-vam-thuat-hdt-110-trieu-th-id22503131
"Nhà 4 tầng, 44m2, hẻm xe hơi đỗ cổng, chợ Cây Quéo, Nguyễn Thượng Hiền","Quận Phú Nhuận, TPHCM",6 tỷ 850 triệu,6 PN,6 WC,390 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-4-tang-44m2-hem-xe-hoi-do-cong-cho-cay-queo-nguyen-thuong-hien-id22517073
"Bán nhà Nguyễn Văn Luông, 36.8m2, 1 lầu, 2 Phòng ngủ, giá chưa 3 tỷ!","Quận 6, TPHCM",2 tỷ 950 triệu,4 PN,3 WC,44 m2,https://mogi.vn/quan-6/mua-nha-hem-ngo/ban-nha-nguyen-van-luong-36-8m2-1-lau-2-phong-ngu-gia-chua-3-ty-id22525901
"MTKD Tân Phú 298m2, 11x29, 5 tầng nở hậu, kẹt tiền bán gấp 25.5 tỷ TL","Quận Tân Phú, TPHCM",25 tỷ 500 triệu,2 PN,2 WC,37 m2,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/mtkd-tan-phu-298m2-11x29-5-tang-no-hau-ket-tien-ban-gap-25-5-ty-tl-id21492763
"Bán căn nhà 60 đường Bùi Tá Hán - An Phú, Q2 dt: 4x20m, 4 tầng. 16.5tỷ","Quận 2 (TP. Thủ Đức), TPHCM",16 tỷ 500 triệu,6 PN,4 WC,298 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-can-nha-60-duong-bui-ta-han-an-phu-q2-dt-4x20m-4-tang-16-5ty-id22394003
Góc 2 Mặt Tiền Đường 8m Thông ĐẶNG THUỲ TRÂM- 95m2(5X20)- 4Tầng- Vuông,"Quận Bình Thạnh, TPHCM",15 tỷ 500 triệu,5 PN,5 WC,80 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/goc-2-mat-tien-duong-8m-thong-dang-thuy-tram-95m2-5x20-4tang-vuong-id22458016
"Bán Nhà C4 -Thu Nhập 11tr/Tháng -Tân Thới Hiệp 21 -5x23 -114m- 4,49tỷ","Quận 12, TPHCM",4 tỷ 490 triệu,4 PN,5 WC,95 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-c4-thu-nhap-11tr-thang-tan-thoi-hiep-21-5x23-114m-4-49ty-id22455902
"Nhà LÊ ĐỨC THỌ - ngay chợ An Nhơn, Hẻm xe tải 8m,  5.3x13m, 2 tầng","Quận Gò Vấp, TPHCM",6 tỷ 200 triệu,5 PN,5 WC,114 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/nha-le-duc-tho-ngay-cho-an-nhon-hem-xe-tai-8m-5-3x13m-2-tang-id22527969
Ngộp! bán gấp nhà 5 tầng 32m2 - Khu Vip Vạn Kiếp P.3 - Giá nhỉnh 4 Tỷ,"Quận Bình Thạnh, TPHCM",4 tỷ 800 triệu,2 PN,2 WC,60 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ngop-ban-gap-nha-5-tang-32m2-khu-vip-van-kiep-p-3-gia-nhinh-4-ty-id22503748
"Bán gấp tòa nhà MT Cách Mạng Tháng 8, Q3 DT: 10m x20m, 6 tầng HĐT 165","Quận 3, TPHCM",60 tỷ,4 PN,4 WC,32 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-gap-toa-nha-mt-cach-mang-thang-8-q3-dt-10m-x20m-6-tang-hdt-165-id22179621
"Phan Đăng Lưu Phú Nhuận, Nội thất cao cáp, 3 tầng, 57m2, Chỉ 5.7 tỷ","Quận Phú Nhuận, TPHCM",5 tỷ 700 triệu,6 PN,6 WC,200 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/phan-dang-luu-phu-nhuan-noi-that-cao-cap-3-tang-57m2-chi-5-7-ty-id22437166
"Nhà Hẻm Xe Hơi, 78m2, 2 tầng, Cạnh Suối Tiên, Tân Phú, TP. Thủ Đức","Quận 9 (TP. Thủ Đức), TPHCM",3 tỷ 500 triệu,3 PN,3 WC,57 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/nha-hem-xe-hoi-78m2-2-tang-canh-suoi-tien-tan-phu-tp-thu-duc-id22489416
Biệt thự Bạch Đằng p2 Tân Bình 8x35 cn 358m2 giá 55 tỷ Tl,"Quận Tân Bình, TPHCM",55 tỷ,3 PN,2 WC,78 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/biet-thu-bach-dang-p2-tan-binh-8x35-cn-358m2-gia-55-ty-tl-id22516218
"GV. 50 triệu/m2. Nhà C4, 280m2, đường 6M, gần Công viên Làng Hoa.","Quận Gò Vấp, TPHCM",13 tỷ 950 triệu,4 PN,4 WC,358 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/gv-50-trieu-m2-nha-c4-280m2-duong-6m-gan-cong-vien-lang-hoa-id22503212
"Biệt thự 3 tầng, hẻm xe hơi, 75m2, sát mặt tiền Lê Quang Định, P7","Quận Bình Thạnh, TPHCM",8 tỷ 570 triệu,4 PN,2 WC,280 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/biet-thu-3-tang-hem-xe-hoi-75m2-sat-mat-tien-le-quang-dinh-p7-id22516768
