name,district,price,bedroom,wc,acreage,link,date
"✅️4,5m❌️22m 4 tầng 6pn khu Đệ Nhất khách sạn,  Hoàng Việt- Út Tịch","Quận Tân Bình, TPHCM",16 tỷ,6 PN,5 WC,96 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/4-5m-22m-4-tang-6pn-khu-de-nhat-khach-san-hoang-viet-ut-tich-id22531757,2024-04-10
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691,2024-04-10
NHÀ MỚI  - 2 TẦNG - Lê Văn Khương - 4 x 13 - Hẻm xe hơi thông - HƠN 3T,"Quận 12, TPHCM",3 tỷ 600 triệu,2 PN,2 WC,44 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-moi-2-tang-le-van-khuong-4-x-13-hem-xe-hoi-thong-hon-3t-id22529587,2024-04-10
Gia đình cần bán mong gặp khách cần mua,"Quận 10, TPHCM",3 tỷ 700 triệu,2 PN,2 WC,30 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/gia-dinh-can-ban-mong-gap-khach-can-mua-id22495812,2024-04-10
Nhà trệt lầu ở Nhơn Đức Nhà Bè,"Huyện Nhà Bè, TPHCM",850 triệu,2 PN,2 WC,21 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/nha-tret-lau-o-nhon-duc-nha-be-id22524481,2024-04-10
"Hiếm ! Hẻm xe hơi, Nơ Trang Long, Nhà 2 Tầng, 75m2, 5x15m, chỉ 6.x tỷ","Quận Bình Thạnh, TPHCM",6 tỷ 850 triệu,2 PN,2 WC,75 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/hiem-hem-xe-hoi-no-trang-long-nha-2-tang-75m2-5x15m-chi-6-x-ty-id22529033,2024-04-10
Bán nhà hẻm xe tải giáp quận 10 5.5m x 13m (70m2) chỉ 10.5 tỷ,"Quận Tân Bình, TPHCM",10 tỷ 500 triệu,5 PN,6 WC,70 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-hem-xe-tai-giap-quan-10-5-5m-x-13m-70m2-chi-10-5-ty-id22435447,2024-04-10
"Ngang 6,6m! Nhà đẹp Hẻm 8m Phan Đăng Lưu Bình Thạnh 126m2 chỉ 15,78tỷ","Quận Bình Thạnh, TPHCM",15 tỷ 780 triệu,6 PN,6 WC,130 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ngang-6-6m-nha-dep-hem-8m-phan-dang-luu-binh-thanh-126m2-chi-15-78ty-id22156400,2024-04-10
"Rẻ 15.680 tỷ! Bán MT Đ. Hoa Trà, P. 07, Q. PN - 4*15m 4 Tầng.","Quận Phú Nhuận, TPHCM",15 tỷ 680 triệu,4 PN,4 WC,60 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/re-15-680-ty-ba-n-mt-d-hoa-tra-p-07-q-pn-4-15m-4-ta-ng-id22220058,2024-04-10
"NHÀ MỚI HOÀN THIỆN - Hẻm 3,5m - Đầy đủ nội thất - SỔ HỒNG RIÊNG","Quận 7, TPHCM",4 tỷ 800 triệu,2 PN,3 WC,40 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/nha-moi-hoan-thien-hem-3-5m-day-du-noi-that-so-hong-rieng-id22480373,2024-04-10
